from_country,from_code,to_country,to_code,category,estimated_value_usd,year,source
Singapore,SG,United States,US,armored_vehicles,200000000,2022,SIPRI Arms Transfers Database
Singapore,SG,Indonesia,ID,patrol_vessels,300000000,2023,SIPRI Arms Transfers Database
Singapore,SG,Philippines,PH,patrol_vessels,250000000,2021,SIPRI Arms Transfers Database
Canada,CA,United States,US,armored_vehicles,1200000000,2023,SIPRI Arms Transfers Database
Brazil,BR,United States,US,aircraft,300000000,2022,SIPRI Arms Transfers Database
Brazil,BR,Colombia,CO,aircraft,400000000,2023,SIPRI Arms Transfers Database
Brazil,BR,Portugal,PT,aircraft,500000000,2023,SIPRI Arms Transfers Database
United States,US,Taiwan,TW,aircraft,2500000000,2023,SIPRI Arms Transfers Database
United States,US,Pakistan,PK,aircraft,600000000,2022,SIPRI Arms Transfers Database
United States,US,Philippines,PH,aircraft+naval,400000000,2022,SIPRI Arms Transfers Database
United States,US,Mexico,MX,helicopters+aircraft,500000000,2023,SIPRI Arms Transfers Database
United States,US,Argentina,AR,aircraft,700000000,2023,SIPRI Arms Transfers Database
France,FR,Taiwan,TW,legacy,200000000,2021,SIPRI Arms Transfers Database
France,FR,Indonesia,ID,aircraft,1200000000,2022,SIPRI Arms Transfers Database
France,FR,Mexico,MX,patrol_aircraft,150000000,2022,SIPRI Arms Transfers Database
Turkey,TR,Indonesia,ID,armored_vehicles,300000000,2023,SIPRI Arms Transfers Database
United Kingdom,GB,Qatar,QA,aircraft,1200000000,2022,SIPRI Arms Transfers Database
Italy,IT,United Arab Emirates,AE,aircraft+helicopters,600000000,2021,SIPRI Arms Transfers Database
South Africa,ZA,Saudi Arabia,SA,armor+artillery,180000000,2022,SIPRI Arms Transfers Database
South Africa,ZA,Algeria,DZ,air_defense,300000000,2021,SIPRI Arms Transfers Database
United Arab Emirates,AE,Egypt,EG,patrol_boats+armor,250000000,2022,SIPRI Arms Transfers Database
United Arab Emirates,AE,Algeria,DZ,munitions+armor,200000000,2023,SIPRI Arms Transfers Database
United Arab Emirates,AE,Jordan,JO,armored_vehicles,100000000,2022,SIPRI Arms Transfers Database
United Arab Emirates,AE,Serbia,RS,technology,50000000,2022,SIPRI Arms Transfers Database
Singapore,SG,Thailand,TH,armored_vehicles,200000000,2021,SIPRI Arms Transfers Database
Singapore,SG,Brazil,BR,armored_vehicles,150000000,2022,SIPRI Arms Transfers Database
United States,US,Indonesia,ID,aircraft+naval,600000000,2022,SIPRI Arms Transfers Database
Israel,IL,Philippines,PH,drones+radar,100000000,2021,SIPRI Arms Transfers Database
India,IN,Philippines,PH,missiles+training,50000000,2023,SIPRI Arms Transfers Database
Spain,ES,Mexico,MX,patrol_vessels,200000000,2022,SIPRI Arms Transfers Database
Israel,IL,Mexico,MX,drones+surveillance,150000000,2023,SIPRI Arms Transfers Database
Canada,CA,Saudi Arabia,SA,armored_vehicles,800000000,2022,SIPRI Arms Transfers Database
Canada,CA,Australia,AU,armored_vehicles,500000000,2021,SIPRI Arms Transfers Database
Canada,CA,United Kingdom,GB,sensors+training,300000000,2022,SIPRI Arms Transfers Database
Canada,CA,Denmark,DK,arctic_patrol,200000000,2023,SIPRI Arms Transfers Database
France,FR,Argentina,AR,aircraft+naval,400000000,2022,SIPRI Arms Transfers Database
Brazil,BR,Argentina,AR,aircraft,200000000,2021,SIPRI Arms Transfers Database
China,CN,Argentina,AR,armored_vehicles,150000000,2022,SIPRI Arms Transfers Database
Brazil,BR,Philippines,PH,aircraft,300000000,2022,SIPRI Arms Transfers Database
Brazil,BR,Angola,AO,aircraft+armor,200000000,2023,SIPRI Arms Transfers Database
Turkey,TR,Ukraine,UA,drones,400000000,2022,SIPRI Arms Transfers Database
Turkey,TR,Azerbaijan,AZ,drones+armor,300000000,2022,SIPRI Arms Transfers Database
Turkey,TR,Poland,PL,drones,200000000,2021,SIPRI Arms Transfers Database
Israel,IL,Vietnam,VN,radar+electronics,100000000,2021,SIPRI Arms Transfers Database
Turkey,TR,Nigeria,NG,helicopters,269400000,2023,SIPRI Arms Transfers Database
China,CN,Nigeria,NG,drones,150000000,2023,SIPRI Arms Transfers Database
Brazil,BR,Nigeria,NG,aircraft,200000000,2021,SIPRI Arms Transfers Database
Pakistan,PK,Nigeria,NG,aircraft,150000000,2023,SIPRI Arms Transfers Database
Netherlands,NL,Nigeria,NG,naval,100000000,2022,SIPRI Arms Transfers Database
India,IN,Nigeria,NG,technology,1000000000,2023,Government of India
United States,US,Nigeria,NG,helicopters,997000000,2024,US Defense Security Cooperation Agency
Turkey,TR,Mali,ML,drones,100000000,2023,SIPRI Arms Transfers Database
Russia,RU,Mali,ML,aircraft+armor,200000000,2023,SIPRI Arms Transfers Database
China,CN,Mali,ML,armored_vehicles,80000000,2023,SIPRI Arms Transfers Database
United Arab Emirates,AE,Mali,ML,armored_vehicles,40000000,2022,SIPRI Arms Transfers Database
China,CN,Ethiopia,ET,aircraft+armor,35000000,2022,SIPRI Arms Transfers Database
Turkey,TR,Ethiopia,ET,drones,95000000,2021,SIPRI Arms Transfers Database
Russia,RU,Ethiopia,ET,helicopters,20000000,2021,SIPRI Arms Transfers Database
China,CN,DR Congo,CD,drones,50000000,2023,SIPRI Arms Transfers Database
Turkey,TR,DR Congo,CD,armored_vehicles,40000000,2024,SIPRI Arms Transfers Database
Turkey,TR,DR Congo,CD,drones+missiles,50000000,2024,SIPRI Arms Transfers Database
UAE,AE,DR Congo,CD,armored_vehicles,50000000,2023,SIPRI Arms Transfers Database
UAE,AE,South Sudan,SS,armored_vehicles,30000000,2022,SIPRI Arms Transfers Database
